Name of Job Posting,NOC Code,Link of Job Information
Manufacturing Engineer,21399,https://www.jobbank.gc.ca/marketreport/summary-occupation/227607/ca
Automotive Service Technician,72410,https://www.jobbank.gc.ca/marketreport/summary-occupation/22430/ca
Industrial Electrician,72422,https://www.jobbank.gc.ca/marketreport/summary-occupation/4520/ca
CNC Machinist,72100,https://www.jobbank.gc.ca/marketreport/summary-occupation/5644/ca
Quality Control Inspector - Manufacturing,22233,https://www.jobbank.gc.ca/marketreport/summary-occupation/22597/ca
Production Supervisor - Manufacturing,92021,https://www.jobbank.gc.ca/marketreport/summary-occupation/22439/ca
Robotics Technician,22312,https://www.jobbank.gc.ca/marketreport/summary-occupation/26234/ca
Mechanical Engineer - Automotive,21301,https://www.jobbank.gc.ca/marketreport/summary-occupation/14153/ca
Supply Chain Coordinator,13200,https://www.jobbank.gc.ca/marketreport/summary-occupation/22388/ca
Battery Technician - Electric Vehicles,72405,https://www.jobbank.gc.ca/marketreport/summary-occupation/18194/ca
